City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
160,shingu,33.7333,135.9833,1.12,72,3,2.99,JP,1710002769
161,callao,-12.0667,-77.15,26.16,61,0,3.6,PE,1710002308
162,agneaux,49.119,-1.1061,10.23,93,100,3.56,FR,1710002769
163,tejen,37.3834,60.5054,12.12,65,100,2.75,TM,1710002769
164,anadyr,64.75,177.4833,-25.72,84,0,3.0,RU,1710002198
165,ust-nera,64.5667,143.2,-31.86,100,73,1.56,RU,1710002226
166,saint-joseph,-21.3667,55.6167,26.21,84,20,4.63,RE,1710002770
167,saipan,15.1355,145.701,26.39,83,75,5.14,MP,1710002770
168,nova sintra,14.8667,-24.7167,19.38,72,22,9.53,CV,1710002320
169,ugoofaaru,5.6667,73.0,27.9,73,0,3.72,MV,1710002770
170,kayangel,8.0823,134.7173,27.49,78,100,9.59,PW,1710002770
171,kotlas,61.2611,46.6556,-14.97,99,100,1.34,RU,1710002770
172,enewetak,11.3474,162.3373,26.2,82,83,10.19,MH,1710002228
173,rio grande,-32.035,-52.0986,27.06,64,100,2.81,BR,1710002737
174,khash,28.2211,61.2158,12.59,80,100,5.21,IR,1710002771
175,alexandria,31.2156,29.9553,16.15,63,86,4.58,EG,1710002663
176,daru,-9.0763,143.2092,25.88,90,100,1.76,PG,1710002245
177,tual,-5.6667,132.75,28.58,76,98,5.61,ID,1710002252
178,matoury,4.8483,-52.3317,31.98,58,20,6.69,GF,1710002771
179,maiyama,12.0841,4.3677,39.73,11,68,2.68,NG,1710002771
180,labytnangi,66.6572,66.4183,-29.14,99,81,0.5,RU,1710002310
181,fisterra,42.9049,-9.2629,9.3,72,80,9.54,ES,1710002250
182,banjarmasin,-3.3244,114.591,26.08,97,100,1.09,ID,1710002772
183,fort bragg,35.139,-79.006,17.12,94,100,5.66,US,1710002202
184,cabo san lucas,22.8909,-109.9124,22.56,72,20,1.79,MX,1710002240
185,djamaa,33.5339,5.9931,24.28,15,43,3.25,DZ,1710002772
186,halifax,44.6453,-63.5724,5.94,61,5,0.89,CA,1710002690
187,broken hill,-31.95,141.4333,25.62,32,0,5.76,AU,1710002772
188,gillette,44.2911,-105.5022,7.84,22,0,5.14,US,1710002773
189,kamina,-8.7386,24.9906,21.0,89,77,0.34,CD,1710002773
190,fiditi,7.7136,3.9172,34.53,41,100,2.98,NG,1710002773
191,fale old settlement,-9.3852,-171.2468,28.95,75,26,4.55,TK,1710002274
192,dauphin,51.1494,-100.0502,-13.92,78,0,1.54,CA,1710002773
193,verkhnevilyuysk,63.4453,120.3167,-18.08,99,99,0.65,RU,1710002773
194,hinton,53.4001,-117.5857,2.76,82,87,3.91,CA,1710002773
195,new norfolk,-42.7826,147.0587,25.72,53,95,1.55,AU,1710002227
196,souillac,-20.5167,57.5167,26.21,94,40,1.54,MU,1710002774
197,ta`u,-14.2336,-169.5144,28.32,79,86,6.68,AS,1710002774
198,ilheus,-14.7889,-39.0494,29.9,66,40,2.06,BR,1710002774
199,novyy urgal,51.0736,132.5642,-23.61,100,88,0.64,RU,1710002774
200,antofagasta,-23.65,-70.4,22.6,65,90,4.28,CL,1710002545
201,camana,-16.6228,-72.7111,24.86,74,91,4.28,PE,1710002774
202,sai kung,22.3822,114.2728,16.73,83,100,4.92,CN,1710002775
203,beau vallon,-20.4189,57.6953,26.23,94,40,1.54,MU,1710002775
204,aliwal north,-30.6937,26.7114,24.99,14,0,2.02,ZA,1710002775
205,iskateley,67.6803,53.1512,-22.77,100,96,1.34,RU,1710002227
206,upington,-28.4478,21.2561,37.21,9,0,3.6,ZA,1710002775
207,jogeva,58.7467,26.3939,-1.73,87,99,2.84,EE,1710002775
208,pedernales,18.0384,-71.744,29.12,61,1,2.99,DO,1710002775
209,privolzhsk,57.3808,41.2886,-13.27,97,100,2.61,RU,1710002776
210,amahai,-3.3333,128.9167,26.25,88,98,4.19,ID,1710002776
211,phan rang-thap cham,11.5667,108.9833,23.35,85,99,2.73,VN,1710002776
212,banjar,-8.19,114.9675,25.18,96,100,1.1,ID,1710002776
213,askoy,60.4092,5.226,8.16,34,0,1.54,NO,1710002776
214,tongouson,5.0214,120.1328,26.74,82,42,3.42,PH,1710002776
215,walvis bay,-22.9575,14.5053,17.83,81,39,5.22,NA,1710002220
216,pendleton,45.6721,-118.7886,10.41,38,0,7.72,US,1710002777
217,prince george,53.9166,-122.753,5.69,63,75,10.29,CA,1710002777
218,morganton,35.7454,-81.6848,13.33,97,100,2.06,US,1710002553
219,xiongzhou,25.1167,114.3,11.45,91,100,1.19,CN,1710002777
220,majuro,7.0897,171.3803,26.98,83,100,10.8,MH,1710002777
221,tambacounda,13.7539,-13.7586,39.03,22,1,4.12,SN,1710002778
222,margaret river,-33.95,115.0667,12.35,75,0,4.46,AU,1710002229
223,sona,45.4388,10.8255,12.49,73,75,1.54,IT,1710002778
224,hilo,19.7297,-155.09,19.58,98,100,3.6,US,1710002778
225,rabaul,-4.1967,152.1721,26.33,85,100,1.4,PG,1710002778
226,tubmanburg,6.8708,-10.8172,29.03,73,78,2.49,LR,1710002778
227,belyy yar,53.6039,91.3903,-6.06,86,36,0.0,RU,1710002317
228,lyubim,58.3625,40.6843,-14.78,97,98,1.83,RU,1710002779
229,hailey,43.5196,-114.3153,-5.38,68,0,5.14,US,1710002779
230,ketchikan,55.3422,-131.6461,2.99,91,83,1.42,US,1710002290
231,kavieng,-2.5744,150.7967,27.77,79,76,2.75,PG,1710002283
232,tolanaro,-25.0319,46.9987,26.04,94,40,7.2,MG,1710002235
233,dudinka,69.4058,86.1778,-15.18,95,100,4.92,RU,1710002779
234,hamilton,39.1834,-84.5333,8.35,88,100,6.69,US,1710002276
235,whitehorse,60.7161,-135.0538,-2.57,74,75,4.12,CA,1710002247
236,carnarvon,-24.8667,113.6333,25.33,62,0,10.51,AU,1710002294
237,ilha solteira,-20.4328,-51.3425,36.14,35,66,1.81,BR,1710002780
238,bamboo flat,11.7,92.7167,27.05,83,20,0.51,IN,1710002303
239,temerluh,3.4506,102.4176,23.88,99,79,0.89,MY,1710002780
240,chibougamau,49.9168,-74.3659,-0.21,59,100,6.17,CA,1710002281
241,torbat-e heydariyeh,35.274,59.2195,11.15,53,8,1.59,IR,1710002781
242,badger,64.8,-147.5333,-14.86,78,100,0.0,US,1710002120
243,happy valley-goose bay,53.3168,-60.3315,-9.83,57,75,3.09,CA,1710002294
244,port saint john's,-31.6229,29.5448,24.6,80,11,6.35,ZA,1710002246
245,linxia chengguanzhen,35.6003,103.2064,2.55,52,100,2.65,CN,1710002781
246,kargasok,59.0556,80.8572,-8.35,93,100,4.02,RU,1710002781
247,iron river,46.0927,-88.6423,-0.81,64,99,6.15,US,1710002781
248,tadine,-21.55,167.8833,25.24,88,100,10.61,NC,1710002324
249,menongue,-14.6585,17.691,21.16,90,100,0.5,AO,1710002782
250,hell-ville,-13.4,48.2667,28.34,73,86,0.74,MG,1710002782
251,buka,40.8108,69.1986,9.96,86,100,2.36,UZ,1710002782
252,sola,-13.8833,167.55,27.78,81,100,10.58,VU,1710002295
253,pacasmayo,-7.4006,-79.5714,26.22,70,88,5.67,PE,1710002782
254,vadso,70.0744,29.7487,2.49,87,75,3.6,NO,1710002319
255,kodiak,57.79,-152.4072,-2.27,69,0,3.6,US,1710002251
256,mogadishu,2.0371,45.3438,28.93,79,75,5.66,SO,1710002783
257,redwood falls,44.5394,-95.1169,0.01,64,0,4.63,US,1710002783
258,seminole,28.7086,-81.2081,30.19,73,40,6.17,US,1710002783
259,sumbawa besar,-8.5,117.4333,24.76,97,100,2.85,ID,1710002783
260,korpilahti,62.0167,25.55,-1.05,95,90,1.34,FI,1710002784
261,tambura,5.6,27.4667,30.44,24,3,0.33,SS,1710002784
262,wynyard,-41.0,145.7167,18.29,85,72,1.92,AU,1710002784
263,kambia,9.1167,-12.9167,34.69,43,24,4.07,SL,1710002784
264,mil'kovo,55.6078,37.7956,-3.78,96,100,1.74,RU,1710002784
265,sampit,-2.5333,112.95,23.04,99,100,0.8,ID,1710002784
266,tempio pausania,40.8974,9.1035,13.51,76,83,2.15,IT,1710002784
267,union city,37.5958,-122.0192,13.27,84,0,3.6,US,1710002785
268,nova petropolis,-29.3764,-51.1144,30.36,64,97,1.57,BR,1710002785
269,horta,38.5333,-28.6333,18.34,73,40,12.86,PT,1710002785
270,beira,-19.8436,34.8389,31.05,74,20,7.2,MZ,1710002785
271,yarmouth,41.7057,-70.2286,5.08,82,100,3.6,US,1710002785
272,villamontes,-21.25,-63.5,36.71,43,46,2.5,BO,1710002785
273,amlagora,22.8333,87.3333,22.86,22,0,2.63,IN,1710002785
274,la passe,45.5549,-0.8967,11.13,83,20,4.55,FR,1710002250
275,nuku'alofa,-21.1333,-175.2,27.19,89,40,4.63,TO,1710002786
276,argo,37.6333,22.7333,14.32,80,98,1.57,GR,1710002282
277,bangassou,4.7413,22.8184,32.78,26,26,0.36,CF,1710002786
278,zaltan,32.947,11.8665,23.84,32,8,4.71,LY,1710002786
